"","lon","lat","location"
"163",NA,NA,"PLAZA DEL EMPERADOR CARLOS V - RONDA DE ATOCHA NA "
"164",-3.750849,40.4637653,"CARRETERA DE LA CIUDAD UNIVERSITARIA KM. 1 "
"165",-3.6926219,40.4186147,"PASEO DEL PRADO 1 "
"166",-3.7047709,40.4583905,"CALLE DE BERRUGUETE 51 "
"167",-3.7036582,40.450329,"CALLE DE BRAVO MURILLO 137 "
"168",NA,NA,"CALLE DE FRANCISCO DE ROJAS - CALLE DE NICASIO GALLEGO NA "
"169",-3.6925054,40.3814633,"CAMINO DE PERALES 20 "
"170",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA OESTE) KM. 5800 "
"171",-3.6844995,40.4152606,"PARQUE DEL RETIRO NA "
"172",-3.7109346,40.3980331,"PARQUE DE MADRID RIO (RIBERA ESTE) KM. 1800 "
"173",-3.6995454,40.4110475,"CALLE DE TORRECILLA DEL LEAL - CALLE DEL OLMO NA "
"174",-3.6052271,40.447758,"AVENIDA DE LUIS ARAGONÉS 4 "
"175",-3.5834878,40.443035,"CALLE DE CAMPEZO 16 "
"176",-3.698831,40.427315,"CALLE DE HORTALEZA - CALLE DE MEJIA LEQUERICA NA "
"177",NA,NA,"CALLE DE LUCHANA - CALLE DE SANTA ENGRACIA NA "
"178",NA,NA,"PASEO DE RECOLETOS 25 "
"179",-3.7088291,40.4718023,"CALLE DE SINESIO DELGADO - CALLE DEL CAPITAN BLANCO ARGIBAY NA "
"180",-3.7718109,40.3363411,"CALLE DE JULIO CARO BAROJA - CAMINO DEL VALDEBEBAS NA "
"181",NA,NA,"CALLE DE ALMAGRO 34 "
"182",-3.5882563,40.4627496,"AVENIDA DE LOGROÑO - CALLE DE TINTIN Y MILU NA "
"183",-3.7002908,40.439006,"CALLE DE SANTA ENGRACIA 106 "
"184",NA,NA,"PASEO DE LAS DELICIAS - PLAZA DE LUCA DE TENA NA "
"185",-3.7649522,40.4006459,"CARRIL ANILLO VERDE CICLISTA KM. 7200 "
"186",-3.6961407,40.4282577,"PLAZA DE ALONSO MARTINEZ 3 "
"187",-3.7788709,40.4585487,"CALLE DE ANA TERESA - CALLE DE ANTONIO SANFIZ NA "
"188",-3.7227934,40.4139658,"CALLE DEL PUENTE DE SEGOVIA NA "
"189",-3.7014311,40.4101573,"CALLE DEL OLIVAR 31 "
"190",NA,NA,"AVENIDA DE LA PRINCESA JUANA DE AUSTRIA - AVENIDA DE LOS POBLADOS NA "
"191",-3.6386608,40.4115378,"CALLE DE JOSE BERGAMIN 30 "
"192",-3.6790191,40.4366569,"CALLE DEL PRINCIPE DE VERGARA - PLAZA DE LA REPUBLICA DEL ECUADOR NA "
"193",NA,NA,"PASEO DEL PRADO 48 "
"194",-3.6740583,40.4348097,"CALLE DE DIEGO DE LEON - CALLE DE FRANCISCO SILVELA NA "
"195",NA,NA,"CALLE DE LA COALICION - CALLE DE LA UNANIMIDAD NA "
"196",NA,NA,"AVENIDA DE MIGUEL HERNANDEZ - CALLE DE RAFAEL FERNANDEZ HIJICOS NA "
"197",-3.7369994,40.4850232,"CALLE DE GABRIELA MISTRAL - CALLE DEL ARROYO DEL MONTE NA "
"198",-3.6039713,40.4542873,"PARQUE DE JUAN CARLOS I 1 "
"199",-3.6859977,40.4292304,"CALLE DE CLAUDIO COELLO - CALLE DE GOYA NA "
"200",-3.72987,40.4179686,"PASEO DEL EMBARCADERO 6 "
"201",-3.6625715,40.4210745,"CALLE DEL ALCALDE SAINZ DE BARANDA 92 "
"202",NA,NA,"CALLE DE LOS HERMANOS DEL MORAL - CALLE DEL GENERAL RICARDOS NA "
"203",NA,NA,"CALLE DEL DOCTOR ESQUERDO 62 "
"204",NA,NA,"AVENIDA DEL MONASTERIO DE SILOS 14 "
"205",-3.6925117,40.4155232,"PLAZA DE LA LEALTAD 5 "
"206",-3.6262921,40.4394233,"CALLE DE ALCALA - CALLE DE VALENTIN BEATO NA "
"207",NA,NA,"CALLE DE LABAJOS 4 "
"208",-3.703956,40.4255326,"CALLE DE SAN ANDRES - CALLE DEL ESPIRITU SANTO NA "
"209",NA,NA,"CALLE DE ALCALA - CALLE DEL MARQUES DE CASA RIERA NA "
"210",NA,NA,"CALLE DE BERNARDINO OBREGON - CALLE DE PALOS DE LA FRONTERA NA "
"211",NA,NA,"AVENIDA DEL PALACIO - CARRETERA DE PARDO A FUENCARRAL NA "
"212",-3.6457982,40.4446579,"CALLE DE ARTURO SORIA 65 "
"213",-4.0360699,40.1894126,"CALLE DE ILLESCAS - CALLE DE VALMOJADO NA "
"214",-3.6935064,40.4379943,"CALLE DE JOSE ABASCAL 48 "
"215",NA,NA,"CALLE DEL PINTOR LUCIO MUÑOZ 17 "
"216",-3.6477346,40.453549,"AVENIDA DE LOS MADROÑOS 15 "
"217",-3.7123158,40.4152865,"CALLE MAYOR 84 "
"218",NA,NA,"AVENIDA DEL MONASTERIO DE SILOS - VIA FERROCARRIL DE MIRASIERRA NA "
"219",-3.69863,40.41636,"CARRERA DE SAN JERONIMO 34 "
"220",-3.6970175,40.4201107,"CALLE DE LAS INFANTAS - CALLE DEL CLAVEL NA "
"221",-3.7587457,40.4263555,"PARQUE DE LA CASA DE CAMPO NA "
"222",NA,NA,"AVENIDA DE LA CIUDAD DE BARCELONA - CALLE DE SECO NA "
"223",-3.6980376,40.4080104,"CALLE DE ARGUMOSA - RONDA DE ATOCHA NA "
"224",NA,NA,"CALLE DE ALCALA - CALLE DE CRONOS NA "
"225",-3.6694513,40.4475978,"CALLE DE LOPEZ DE HOYOS 141 "
"226",NA,NA,"AVENIDA DE SANTO DOMINGO DE LA CALZADA - AVENIDA DEL CAMINO DE SANTIAGO NA "
